2025-06-07 12:51:55,26.8,32.0
2025-06-07 12:51:56,22.3,42.9
2025-06-07 12:51:58,17.9,75.1
2025-06-07 12:51:59,23.3,46.4
2025-06-07 12:51:59,21.2,66.7
2025-06-07 12:51:59,18.6,53.8
2025-06-07 12:52:00,28.9,73.7
2025-06-07 12:52:00,27.6,86.1
2025-06-07 12:52:00,17.9,39.6
2025-06-07 12:52:00,29.9,31.7
2025-06-07 12:52:00,29.1,61.7
2025-06-07 12:52:00,17.8,68.9
2025-06-07 12:52:01,27.0,59.4
2025-06-07 12:52:01,23.8,40.0
2025-06-07 12:52:01,15.9,78.4
2025-06-07 12:52:01,17.5,62.2
2025-06-07 12:52:01,21.7,39.3
2025-06-07 12:52:01,22.7,59.1
2025-06-07 12:52:02,21.5,81.7
2025-06-07 12:52:02,28.8,32.3
2025-06-07 12:52:02,17.0,81.7
2025-06-07 12:52:02,25.1,48.0
2025-06-07 12:52:02,17.1,73.7
2025-06-07 12:52:03,26.3,31.0
2025-06-07 12:52:03,27.8,71.6
2025-06-07 12:52:03,15.4,56.6
2025-06-07 12:52:04,21.1,40.0
2025-06-07 12:52:05,28.5,57.2
2025-06-07 12:52:07,25.5,47.9
2025-06-07 12:52:07,17.0,47.7
2025-06-07 12:52:08,20.8,75.3
2025-06-07 12:52:08,28.2,89.2
2025-06-07 12:52:08,27.5,85.9
2025-06-07 12:52:08,25.9,73.3
2025-06-07 12:52:08,17.9,30.7
2025-06-07 12:52:08,17.7,33.5
